employee_number;environment_satisfaction;job_involvement;job_satisfaction;relationship_satisfaction;work_life_balance
699;2;4;2;3;3
643;2;4;2;3;4
615;2;4;1;3;3
534;2;4;1;3;3
530;2;4;1;3;3
496;2;4;2;3;3
493;2;4;2;3;4
474;2;4;1;3;1
466;2;4;2;3;4
463;2;4;2;3;1
436;2;4;2;3;4
412;2;4;1;3;3
408;2;4;2;3;4
369;2;4;1;3;4
362;2;4;1;3;4
351;2;4;1;3;3
347;2;4;1;3;3
339;2;4;1;3;2
305;2;4;2;3;4
274;2;4;1;3;3
254;2;4;2;3;4
250;2;4;1;3;3
153;2;4;1;3;4
151;2;4;2;3;3
100;2;4;1;3;2
85;2;4;2;3;3
70;2;4;1;3;3
52;2;4;1;3;1
20;2;4;1;3;3
2;2;4;2;3;4
2068;2;4;3;4;1
2056;2;4;3;2;1
2045;2;4;3;2;1
2036;2;4;3;2;1
1994;2;4;3;2;3
1981;2;4;3;2;2
1915;2;4;3;2;3
1893;2;4;3;2;3
1890;2;4;3;2;4
1888;2;4;3;2;4
1873;2;4;3;4;2
1835;2;4;3;2;1
1826;2;4;3;4;2
1753;2;4;3;4;4
1744;2;4;3;4;3
1739;2;4;3;1;3
1718;2;4;3;4;3
1712;2;4;3;2;4
1700;2;4;3;2;3
1697;2;4;3;4;3
1696;2;4;3;4;3
1638;2;4;3;4;4
1605;2;4;3;2;2
1601;2;4;3;2;4
1597;2;4;3;2;2
1596;2;4;3;2;4
1558;2;4;3;2;1
1483;2;4;3;2;1
1448;2;4;3;2;1
1440;2;4;3;1;1
1424;2;4;3;4;4
1401;2;4;3;2;2
1304;2;4;3;4;3
1297;2;4;3;2;2
1293;2;4;3;4;4
1265;2;4;3;2;4
1264;2;4;3;2;2
1263;2;4;3;4;3
1243;2;4;3;2;2
1202;2;4;3;2;1
1196;2;4;3;2;2
1185;2;4;3;4;2
1180;2;4;3;1;4
1152;2;4;3;4;4
1150;2;4;3;2;3
1128;2;4;3;4;1
1088;2;4;3;2;1
1073;2;4;3;2;2
1047;2;4;3;2;4
1044;2;4;3;2;4
987;2;4;3;4;3
941;2;4;3;4;2
925;2;4;3;2;1
894;2;4;3;2;2
872;2;4;3;1;1
865;2;4;3;2;3
861;2;4;3;2;2
833;2;4;3;2;2
763;2;4;3;2;4
